session_id,date,duration_sec,avg_perclos,max_perclos,total_blinks,blink_rate_per_min,total_yawns,drowsy_events,baseline_ear,ear_threshold
20260730_145135,2026-07-30 14:52:15,39.8,56.82,73.85,10,15.09,4,6,0.2575,0.1931
20260730_213108,2026-07-30 21:31:29,20.7,20.12,66.67,11,31.87,9,1,0.2561,0.1921
20260730_214247,2026-07-30 21:44:54,126.7,10.92,41.54,31,14.68,6,7,0.2561,0.1921
20260730_220107,2026-07-30 22:01:55,48.1,20.85,50.0,16,19.94,1,3,0.2561,0.1921
20260731_172056,2026-07-31 17:21:18,22.3,39.31,100.0,1,2.69,0,0,0.2561,0.1921
20260731_173546,2026-07-31 17:35:59,12.9,0.0,0.0,0,0.0,0,0,0.2561,0.1921
20260731_174031,2026-07-31 17:40:50,19.3,0.0,0.0,0,0.0,0,0,0.2458,0.1844
20260806_140315,2026-08-06 14:03:59,43.4,32.58,66.67,22,30.42,1,6,0.28,0.21
20260811_095927,2026-08-11 09:59:37,9.7,71.61,100.0,4,24.79,0,1,0.28,0.21
20260819_090328,2026-08-19 09:03:52,24.0,7.4,12.99,4,9.98,1,0,0.2643,0.1982
20260819_090702,2026-08-19 09:07:17,15.4,52.19,72.22,5,19.52,0,4,0.302,0.2265
20260819_091409,2026-08-19 09:14:50,40.3,15.75,100.0,22,32.72,2,4,0.244,0.183
